error	steps
192694351.0	505.0
192694351.0	506.0
192692570.0	507.0
192651296.0	508.0
192649848.0	509.0
192643541.0	510.0
192635953.0	511.0
192635618.0	512.0
192634347.0	513.0
192630569.0	514.0
192630569.0	515.0
192630569.0	516.0
192626734.0	517.0
192621027.0	518.0
192613892.0	519.0
192613892.0	520.0
192613892.0	521.0
192613892.0	522.0
192577907.0	523.0
192577436.0	524.0
192570296.0	525.0
192566372.0	526.0
192566372.0	527.0
192566372.0	528.0
192565355.0	529.0
192564964.0	530.0
192556031.0	531.0
192553246.0	532.0
192546959.0	533.0
192532324.0	534.0
192530208.0	535.0
192521558.0	536.0
192517699.0	537.0
192517699.0	538.0
192485742.0	539.0
192384014.0	540.0
192375658.0	541.0
192375658.0	542.0
192374399.0	543.0
192368697.0	544.0
192364792.0	545.0
192360375.0	546.0
192357697.0	547.0
192354350.0	548.0
192350342.0	549.0
192349167.0	550.0
192349167.0	551.0
192349167.0	552.0
192336174.0	553.0
192325626.0	554.0
192318486.0	555.0
192317692.0	556.0
192273657.0	557.0
192273657.0	558.0
192272288.0	559.0
192271717.0	560.0
192271387.0	561.0
192271387.0	562.0
192265857.0	563.0
192259851.0	564.0
192257393.0	565.0
192253023.0	566.0
192250956.0	567.0
192225923.0	568.0
192222369.0	569.0
192220848.0	570.0
192218789.0	571.0
192214834.0	572.0
192214834.0	573.0
192214834.0	574.0
192214834.0	575.0
192214834.0	576.0
192214834.0	577.0
192214834.0	578.0
192208261.0	579.0
192208261.0	580.0
192208261.0	581.0
192208073.0	582.0
192204856.0	583.0
192204856.0	584.0
192204482.0	585.0
192204467.0	586.0
192189486.0	587.0
192189486.0	588.0
192185340.0	589.0
192185340.0	590.0
192184743.0	591.0
192177692.0	592.0
192177692.0	593.0
192177692.0	594.0
192177692.0	595.0
192177692.0	596.0
192176487.0	597.0
192154162.0	598.0
192154074.0	599.0
192144438.0	600.0
192142715.0	601.0
192123691.0	602.0
192123691.0	603.0
192122088.0	604.0
192122088.0	605.0
192117486.0	606.0
192117486.0	607.0
192115329.0	608.0
192115329.0	609.0
192115329.0	610.0
192115329.0	611.0
192115329.0	612.0
192110831.0	613.0
192108649.0	614.0
192108649.0	615.0
192108603.0	616.0
192107205.0	617.0
