Price_0-Day,Price_1-Day,Price_2-Day,Price_3-Day,Price_4-Day,Price_5-Day
96328.5625,96372.578125,96336.546875,96266.0546875,96258.625,96244.0234375
96372.578125,96336.546875,96266.0546875,96258.625,96244.0234375,96193.0625
96336.546875,96266.0546875,96258.625,96244.0234375,96193.0625,96202.796875
96266.0546875,96258.625,96244.0234375,96193.0625,96202.796875,96214.4921875
96258.625,96244.0234375,96193.0625,96202.796875,96214.4921875,96204.5078125
96244.0234375,96193.0625,96202.796875,96214.4921875,96204.5078125,96186.296875
96193.0625,96202.796875,96214.4921875,96204.5078125,96186.296875,96085.296875
96202.796875,96214.4921875,96204.5078125,96186.296875,96085.296875,95994.2421875
96214.4921875,96204.5078125,96186.296875,96085.296875,95994.2421875,96056.15625
96204.5078125,96186.296875,96085.296875,95994.2421875,96056.15625,95983.3984375
96186.296875,96085.296875,95994.2421875,96056.15625,95983.3984375,95914.9375
96085.296875,95994.2421875,96056.15625,95983.3984375,95914.9375,95980.96875
95994.2421875,96056.15625,95983.3984375,95914.9375,95980.96875,95986.5859375
96056.15625,95983.3984375,95914.9375,95980.96875,95986.5859375,95972.65625
95983.3984375,95914.9375,95980.96875,95986.5859375,95972.65625,95975.6796875
95914.9375,95980.96875,95986.5859375,95972.65625,95975.6796875,96051.0546875
95980.96875,95986.5859375,95972.65625,95975.6796875,96051.0546875,96030.65625
95986.5859375,95972.65625,95975.6796875,96051.0546875,96030.65625,96064.7265625
95972.65625,95975.6796875,96051.0546875,96030.65625,96064.7265625,96091.15625
95975.6796875,96051.0546875,96030.65625,96064.7265625,96091.15625,95959.4453125
96051.0546875,96030.65625,96064.7265625,96091.15625,95959.4453125,95962.2578125
96030.65625,96064.7265625,96091.15625,95959.4453125,95962.2578125,95997.7265625
96064.7265625,96091.15625,95959.4453125,95962.2578125,95997.7265625,95955.53125
96091.15625,95959.4453125,95962.2578125,95997.7265625,95955.53125,95997.2265625
95959.4453125,95962.2578125,95997.7265625,95955.53125,95997.2265625,95937.390625
95962.2578125,95997.7265625,95955.53125,95997.2265625,95937.390625,95946.9765625
95997.7265625,95955.53125,95997.2265625,95937.390625,95946.9765625,96024.25
95955.53125,95997.2265625,95937.390625,95946.9765625,96024.25,96050.984375
95997.2265625,95937.390625,95946.9765625,96024.25,96050.984375,96054.7890625
95937.390625,95946.9765625,96024.25,96050.984375,96054.7890625,96076.8515625
95946.9765625,96024.25,96050.984375,96054.7890625,96076.8515625,96092.6328125
96024.25,96050.984375,96054.7890625,96076.8515625,96092.6328125,96163.5625
96050.984375,96054.7890625,96076.8515625,96092.6328125,96163.5625,96167.0703125
96054.7890625,96076.8515625,96092.6328125,96163.5625,96167.0703125,96140.9296875
96076.8515625,96092.6328125,96163.5625,96167.0703125,96140.9296875,96145.0
96092.6328125,96163.5625,96167.0703125,96140.9296875,96145.0,96150.8359375
96163.5625,96167.0703125,96140.9296875,96145.0,96150.8359375,96211.453125
96167.0703125,96140.9296875,96145.0,96150.8359375,96211.453125,96209.40625
96140.9296875,96145.0,96150.8359375,96211.453125,96209.40625,96245.21875
96145.0,96150.8359375,96211.453125,96209.40625,96245.21875,96239.671875
96150.8359375,96211.453125,96209.40625,96245.21875,96239.671875,96259.5390625
96211.453125,96209.40625,96245.21875,96239.671875,96259.5390625,96251.8828125
96209.40625,96245.21875,96239.671875,96259.5390625,96251.8828125,96246.390625
